epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,643.289,1.0766,3.23722,1.45692,0.53336,0.53228,0.54965,0.37353,1.13699,2.48275,1.40618,0.000166506,0.000166506,0.000166506
2,1261.05,1.05935,2.15029,1.40152,0.57316,0.63597,0.61995,0.44248,1.07189,2.22247,1.33752,0.000300189,0.000300189,0.000300189
3,1877.7,1.03619,1.8238,1.37777,0.6576,0.67732,0.69475,0.48823,1.08952,1.97137,1.32942,0.000400871,0.000400871,0.000400871
4,2519.51,1.008,1.59282,1.34422,0.66092,0.75493,0.75667,0.54699,1.02241,1.62421,1.28616,0.0003515,0.0003515,0.0003515
5,3152.7,0.95961,1.36538,1.30521,0.74922,0.77912,0.82106,0.59664,1.01476,1.33655,1.26812,0.000302,0.000302,0.000302
6,3772.44,0.91971,1.19211,1.2709,0.778,0.80642,0.82457,0.60395,0.99032,1.11398,1.23363,0.0002525,0.0002525,0.0002525
7,4386.82,0.88738,1.05122,1.24442,0.77281,0.87551,0.86637,0.6482,0.9427,1.00987,1.19194,0.000203,0.000203,0.000203
8,5012.32,0.84669,0.95761,1.21769,0.80389,0.87147,0.85847,0.65054,0.92737,0.95209,1.16991,0.0001535,0.0001535,0.0001535
9,5643.54,0.81572,0.87637,1.19536,0.83055,0.87935,0.88058,0.66904,0.90371,0.85539,1.1591,0.000104,0.000104,0.000104
10,6286.54,0.78521,0.81511,1.17627,0.83143,0.90081,0.89093,0.67944,0.88905,0.81882,1.14598,5.45e-05,5.45e-05,5.45e-05
